connection_type,functions,matrix,model,screen
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," *VA, відгук 5мс, 165Гц","Монітор LG 32GN550 32 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор NEC E242N 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort", NVIDIA G-Sync," AH-IPS, відгук 4мс, 165Гц","Монітор Acer Predator XB271HUbmiprz 27 """, 2560x1440 (16:9)
" VGA, HDMI", Flicker-Free," TN+film, відгук 5мс, 60Гц","Монітор Dell E2221HN 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор HP 24x 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Viewsonic VP2785-2K 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," *VA, відгук 4мс, 60Гц","Монітор AOC U3277FWQ 32 """, 3840x2160 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 120Гц","Монітор Viewsonic XG2402 24 """, 1920x1080 (16:9)
 HDMI," VGA, HDMI, DisplayPort"," *VA, відгук 6мс, 60Гц","Монітор Viewsonic TD2760 27 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Eizo FlexScan EV3285 32 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 5мс, 60Гц","Монітор Philips 328E9FJAB 32 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," відгук 5мс, 60Гц","Монітор HP E230t 23 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор Acer Predator XB241YUbmiprz 24 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 10мс, 60Гц","Монітор Eizo ColorEdge CS2740 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор AOC 24P2C 24 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," *VA, відгук 5мс, 75Гц","Монітор Asus VP247HA 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Samsung S34J550WQU 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор Lenovo T23D 23 """, 1920x1200 (16:10)
" HDMI, DisplayPort"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Eizo FlexScan EV2760 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," VGA, HDMI"," IPS, відгук 5мс, 60Гц","Монітор HP 27w 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," відгук 14мс, 60Гц","Монітор Lenovo E22-20 22 """, 1920x1080 (16:9)
" DVI-D, HDMI", PBP," IPS, відгук 24мс, 120Гц","Монітор NEC PA322UHD 32 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Acer CB272ASmiprx 27 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, HDMI"," IPS, відгук 3мс, 75Гц","Монітор Viewsonic VX3211mh 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," IPS, відгук 7мс, 60Гц","Монітор HP Z23n 23 """, 1920x1080 (16:9)
" VGA, DVI-D, DisplayPort", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор BenQ BL2423PT 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Asus VG245HE 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, PBP, Flicker-Free"," *VA, відгук 5мс, 100Гц","Монітор LG 35WN75C 35 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 1мс, 144Гц","Монітор MSI Optix MAG241C 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," TN+film, відгук 5мс, 60Гц","Монітор Asus VK228H 22 """, 1920x1080 (16:9)
 HDMI," NVIDIA G-Sync, Flicker-Free"," IPS, відгук 4мс, 165Гц","Монітор Asus ROG Swift PG279Q 27 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, PBP, Flicker-Free"," PLS, відгук 5мс, 60Гц","Монітор Samsung S27H850 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Eizo FlexScan EV2456 24 """, 1920x1200 (16:10)
" VGA, HDMI"," HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор LG 27UL600 27 """, 3840x2160 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Ultimate, HDR, Flicker-Free"," IPS, відгук 4мс, 120Гц","Монітор Acer ConceptD CP7271KP 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort, інтерфейс Thunderbolt", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор Lenovo P32u-10 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," *VA, відгук 5мс, 120Гц","Монітор Samsung C43J890 43 """, 3840x1200 (32:10)
" HDMI, DisplayPort, mini DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 5мс, 144Гц","Монітор Viewsonic VX2758-PC-MH 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync Premium, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор Viewsonic XG2405 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, Flicker-Free"," AH-IPS, відгук 5мс, 75Гц","Монітор LG 34UM69G 34 """, 2560x1080 (21:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 165Гц","Монітор Asus TUF Gaming VG27BQ 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор HP 34f 34 """, 3440x1440 (21:9)
" VGA, HDMI", USB B," TN+film, відгук 11мс, 60Гц","Монітор Asus MB168B 16 """, 1366x768 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Acer B247Ybmiprx 24 """, 1920x1080 (16:9)
" VGA, HDMI, USB C"," HDMI, DisplayPort"," IPS, відгук 8мс, 60Гц","Монітор NEC V554Q 55 """, 3840x2160 (16:9)
" VGA, DVI-D", Flicker-Free," AH-IPS, відгук 5мс, 75Гц","Монітор LG 24MP58D 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Iiyama ProLite XU2792HSU-B1 27 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, HDMI"," IPS, відгук 4мс, 60Гц","Монітор Samsung S24F352F 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор BenQ EX3501R 35 """, 3440x1440 (21:9)
" VGA, HDMI"," VGA, HDMI"," IPS, відгук 7мс, 60Гц","Монітор HP 27es 27 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ BL2581T 25 """, 1920x1200 (16:10)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," TN+film, відгук 1мс, 165Гц","Монітор HP OMEN 27 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," PBP, Flicker-Free"," *VA, відгук 5мс, 70Гц","Монітор Philips 498P9 49 """, 5120x1440 (32:9)
" HDMI, DisplayPort, mini DisplayPort"," HDR, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Viewsonic VX3276-4K-mhd 32 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," PBP, Flicker-Free"," AH-IPS, відгук 5мс, 60Гц","Монітор Dell U3415W 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell U3419W 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort, USB C", Flicker-Free," AH-IPS, відгук 5мс, 75Гц","Монітор Philips 272B7QUBHEB 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," HDMI, DisplayPort"," IPS, відгук 4мс, 60Гц","Монітор Lenovo T27q-20 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Philips 328B1 32 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," AH-IPS, відгук 4мс, 60Гц","Монітор AOC I2781FH 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," IPS, відгук 4мс, 120Гц","Монітор Dell Alienware AW3418DW 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," VGA, HDMI"," відгук 5мс, 60Гц","Монітор Acer V246HQLbi 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," ADS-IPS, відгук 4мс, 75Гц","Монітор Iiyama ProLite XUB3493WQSU-B1 34 """, 3440x1440 (21:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Iiyama ProLite XU2493HS-B1 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 75Гц","Монітор Acer R241YBwmix 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," відгук 5мс, 60Гц","Монітор AOC 27E1H 27 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ BL2381T 23 """, 1920x1200 (16:10)
 HDMI, Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор Xiaomi Mi Display 1A 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," відгук 4мс, 100Гц","Монітор Philips 346E2CUAE 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell U3421WE 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort", Flicker-Free," PLS, відгук 4мс, 60Гц","Монітор Samsung S24E650PL 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, PBP, Flicker-Free"," TN+film, відгук 1мс, 60Гц","Монітор Samsung U28E590D 28 """, 3840x2160 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор HP 24f 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор Lenovo T22v 22 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP 32 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор AOC G2590PX 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор Philips 439P9H 43 """, 3840x1200 (32:10)
" HDMI, DisplayPort", VGA," TN+film, відгук 5мс, 60Гц","Монітор HP V243 24 """, 1366x768 (16:9)
" HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," AH-IPS, відгук 6мс, 60Гц","Монітор Dell P2217H 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI"," *VA, відгук 10мс, 76Гц","Монітор AOC M2470SWDA 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI"," HDMI, DisplayPort, USB C"," IPS, відгук 4мс, 75Гц","Монітор Lenovo Q27h-10 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 223S7EHMB 22 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," AH-IPS, відгук 5мс, 60Гц","Монітор Asus BE249QLBH 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор Asus MG248QE 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," VGA, HDMI"," IPS, відгук 5мс, 60Гц","Монітор HP 22w 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор Asus ROG Strix XG248Q 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," VGA, HDMI, DisplayPort"," IPS, відгук 6мс, 60Гц","Монітор Dell P1917S 19 """, 1280x1024 (5:4)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Lenovo T27h-20 27 """, 2560x1440 (16:9)
" VGA, HDMI", Flicker-Free," *VA, відгук 4мс, 75Гц","Монітор Philips 221V8A 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 6мс, 60Гц","Монітор Lenovo T24m 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор AOC 22P2Q 22 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Dell E1715S 17 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C"," HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор LG 34WN80C 34 """, 3440x1440 (21:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор HP V194 19 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 4мс, 170Гц","Монітор Asus TUF Gaming VG27AQL1A 27 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort"," VGA, DVI"," *VA, відгук 5мс, 76Гц","Монітор AOC M2060swda2 20 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Lenovo Q24i-10 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 75Гц","Монітор Philips 241B7QUBHEB 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 76Гц","Монітор Fujitsu B24W-7 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," TN+film, відгук 1мс, 165Гц","Монітор Lenovo Legion Y27gq-20 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, mini DisplayPort, USB C"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор BenQ Zowie XL2746S 27 """, 1920x1080 (16:9)
" HDMI, USB C"," AMD FreeSync, Flicker-Free"," IPS, відгук 3мс, 240Гц","Монітор Asus ROG Strix XG17AHP 17 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 240Гц","Монітор AOC C32G2ZE 32 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Lenovo T23i-20 23 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," TN+film, відгук 1мс, 75Гц","Монітор Asus VG245H 24 """, 1920x1080 (16:9)
" VGA, HDMI"," HDR, PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор BenQ SW321C 32 """, 3840x2160 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 75Гц","Монітор HP 22fw 22 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Lenovo D32q-20 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор LG 32UD59-B 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort, mini DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," TN+film, відгук 1мс, 60Гц","Монітор Acer UT241Y 24 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 4мс, 60Гц","Монітор Iiyama ProLite XU2792UHSU-B1 27 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," AH-IPS, відгук 5мс, 60Гц","Монітор BenQ GW2406Z 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," *VA, відгук 4мс, 75Гц","Монітор Iiyama ProLite XB2283HS-B5 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, DVI-D, HDMI, DisplayPort"," IPS, відгук 5мс, 60Гц","Монітор AOC 24P1 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort", PBP," IPS, відгук 8мс, 60Гц","Монітор LG 86BH7C-B 86 """, 3840x600
" HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор LC-Power LC-M32-QHD-144-C-V2 32 """, 2560x1440 (16:9)
" VGA, DVI-D", Flicker-Free," IPS, відгук 14мс, 60Гц","Монітор HP Z32 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort", PBP," AH-IPS, відгук 5мс, 75Гц","Монітор Iiyama ProLite XUB3490WQSU 34 """, 3440x1440 (21:9)
" VGA, DisplayPort", AMD FreeSync Premium," TN+film, відгук 1мс, 240Гц","Монітор AOC AGON AG251FZ 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор AOC Q2790PQE 27 """, 2560x1440 (16:9)
" VGA, HDMI", Flicker-Free," відгук 5мс, 76Гц","Монітор Asus VA249HE 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," PLS, відгук 4мс, 60Гц","Монітор Samsung S24F350FHU 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 223V7QDSB 22 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор AOC AGON AG272FCX6 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," відгук 4мс, 60Гц","Монітор Philips 288E2UAE 28 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Samsung U28E570D 28 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор MSI Optix MAG321CURV 32 """, 3840x2160 (16:9)
 VGA, Flicker-Free," IPS, відгук 5мс, 76Гц","Монітор Eizo FlexScan EV2450 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 9мс, 60Гц","Монітор Iiyama ProLite LH4342UHS-B1 43 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," VGA, HDMI"," E-IPS, відгук 5мс, 75Гц","Монітор LG 22MA33D 22 """, 1366x768 (16:9)
" HDMI, DisplayPort, mini DisplayPort", HDMI, 60Гц,"Монітор Philips 55BDL9018L 54 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор AOC I2790PQU 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," TN+film, відгук 10мс, 75Гц","Монітор Asus VT168N 16 """, 1366x768 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI"," *VA, відгук 6мс, 75Гц","Монітор Iiyama ProLite X2481HS 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," DVI-D, HDMI, DisplayPort"," IPS, відгук 5мс, 75Гц","Монітор LG 27BK750Y 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," NVIDIA G-Sync, Flicker-Free"," AH-IPS, відгук 1мс, 240Гц","Монітор Acer Predator XB273XB 27 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP V27i 27 """, 1920x1080 (16:9)
" VGA, HDMI", HDMI," IPS, відгук 5мс, 60Гц","Монітор Dell S2419H 24 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell U2412M 24 """, 1920x1200 (16:10)
" VGA, HDMI, DisplayPort"," VGA, DVI-D"," TN+film, відгук 5мс, 75Гц","Монітор Philips 226E9QHAB 22 """, 1600x900 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор LG 27GN880 27 """, 2560x1440 (16:9)
 HDMI," VGA, DVI-D, HDMI"," E-IPS, відгук 9мс","Монітор HP U27 4K 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 4мс, 240Гц","Монітор Acer Nitro XV273X 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, DVI-D, DisplayPort"," AH-IPS, відгук 6мс, 75Гц","Монітор HP ENVY 27 27 """, 1280x1024 (5:4)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," відгук 1мс, 144Гц","Монітор Acer Predator XB271HAbmiprzx 27 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, DVI-D, HDMI"," TN+film, відгук 2мс, 60Гц","Монітор AOC 22E1D 22 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 4мс, 75Гц","Монітор Philips 342B1C 34 """, 2560x1080 (21:9)
" DVI-D, HDMI, DisplayPort", Flicker-Free," AH-IPS, відгук 4мс, 60Гц","Монітор Acer H257HUsmidpx 25 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D"," AH-IPS, відгук 5мс, 76Гц","Монітор Asus VS247HR 24 """, 1280x1024 (5:4)
" HDMI, DisplayPort, USB C"," NVIDIA G-Sync, HDR, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Acer Predator CG437KP 43 """, 3840x2160 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 60Гц","Монітор Philips 276E8FJAB 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C"," HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор BenQ PD3220U 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Asus TUF Gaming VG34VQL1B 34 """, 3440x1440 (21:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," *VA, 120Гц","Монітор Asus ROG Strix XG438Q 43 """, 3840x2160 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP Z24n G2 24 """, 1920x1080 (16:9)
" HDMI, USB C", Flicker-Free," AH-IPS, відгук 6мс, 60Гц","Монітор Philips 200V4LAB 20 """, 1920x1200 (16:10)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор HP 27fw 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Panasonic TH-47LFT30W 47 """, 1920x1200 (16:10)
" VGA, HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 1мс, 240Гц","Монітор Acer Nitro XV272Xbmiiprx 27 """, 1920x1080 (16:9)
 HDMI," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор NEC EA193Mi 19 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," IPS, відгук 4мс, 60Гц","Монітор Lenovo P32p-20 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 1мс, 100Гц","Монітор Acer XR342CKPbmiiqphuzx 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 8мс, 75Гц","Монітор LG 32QK500 32 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ GW2480T 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Asus VB199T 19 """, 2560x1440 (16:9)
 USB C," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 1мс, 165Гц","Монітор MSI Optix MAG322CQR 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," AH-IPS, відгук 5мс, 60Гц","Монітор Philips 272B7QPJEB 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," HDR, PBP, Flicker-Free"," IPS, відгук 6мс, 144Гц","Монітор Lenovo P44w-10 43 """, 3840x1200 (32:10)
" VGA, HDMI"," VGA, DVI-D, HDMI, DisplayPort", 60Гц,"Монітор BenQ ST4301K 43 """, 3840x2160 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор MSI PRO MP271P 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Asus VZ229HE 22 """, 3840x1600 (21:9)
" VGA, HDMI"," VGA, HDMI, DisplayPort"," IPS, відгук 5мс, 60Гц","Монітор HP Z24x G2 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, mini DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 144Гц","Монітор Asus MG279Q 27 """, 2560x1440 (16:9)
