connection_type,functions,matrix,model,screen
" VGA, HDMI"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор Asus VA27EHE 27 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," AH-IPS, відгук 5мс, 60Гц","Монітор Iiyama ProLite X3291HS-B1 32 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Dell S2721DS 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, Flicker-Free"," *VA, відгук 1мс, 165Гц","Монітор MSI Optix MAG272C 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор Acer Predator Z35Pbmiphz 35 """, 3440x1440 (21:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор AOC 22P2DU 22 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 4мс, 60Гц","Монітор Samsung U32J590 32 """, 3840x2160 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 8мс, 75Гц","Монітор AOC 27B2H 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор AOC CU34G2X 34 """, 3440x1440 (21:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 5мс, 144Гц","Монітор Asus TUF Gaming VG24VQ 24 """, 1920x1080 (16:9)
" DVI-D, HDMI"," DVI-D, HDMI, DisplayPort"," відгук 8мс, 60Гц","Монітор Samsung QM85N 85 """, 3840x2160 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell E2420H 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," AH-IPS, відгук 4мс, 144Гц","Монітор AOC 24G2 24 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ GW2475H 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 4мс, 240Гц","Монітор Acer Nitro XV253QXbmiiprzx 25 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Acer ED273URPbidpx 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор BenQ GW2480 24 """, 1920x1080 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI, DisplayPort"," *VA, відгук 5мс, 75Гц","Монітор Iiyama ProLite X2888HS 28 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор MSI Optix MPG341CQR 34 """, 3440x1440 (21:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор MSI Optix MAG272CQR 27 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 1мс, 165Гц","Монітор Acer Nitro XV270Pbmiiprx 27 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Acer Nitro VG240YU 24 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," QLED, відгук 1мс, 144Гц","Монітор Dell SE2416H 24 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 273V7QDAB 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Dell P3421W 34 """, 3440x1440 (21:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор AOC 24G2U5 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," HDMI, DisplayPort"," відгук 8мс, 60Гц","Монітор Samsung QM32R 32 """, 1920x1080 (16:9)
" VGA, DVI-D, HDMI", PBP," відгук 8мс, 120Гц","Монітор Asus VC239HE 23 """, 5120x2160 (21:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Dell P2720DC 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 4мс, 75Гц","Монітор Philips 325B1L 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync Premium, HDR, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор BenQ EX2780Q 27 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," відгук 1мс, 144Гц","Монітор AOC AGON AG273QCX 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," PBP, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор Philips 276E8VJSB 27 """, 3840x2160 (16:9)
" VGA, HDMI, DisplayPort"," VGA, DVI-D, HDMI"," *VA, відгук 4мс, 75Гц","Монітор Iiyama ProLite X2783HSU 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор Acer Nitro VG271UPbmiipx 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 273V7QJAB 27 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор HP 24mq 24 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," TN+film, відгук 1мс, 75Гц","Монітор Asus VS197DE 19 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," VGA, DVI-D, HDMI"," *VA, відгук 8мс, 60Гц","Монітор Samsung C24FG73 24 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Asus VY249HE 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 5мс, 144Гц","Монітор LG 32GK650F 32 """, 2560x1440 (16:9)
" DVI-D, HDMI", Flicker-Free," IPS, відгук 10мс, 60Гц","Монітор Neovo SX-17P 17 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор Dell S2421HGF 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," HDMI, DisplayPort"," відгук 6мс, 75Гц","Монітор Samsung QH65H 65 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, PBP, Flicker-Free"," *VA, відгук 3мс, 60Гц","Монітор Samsung QM105D 105 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," *VA, відгук 4мс, 100Гц","Монітор 2E G2919B 29 """, 2560x1080 (21:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 240Гц","Монітор LG 27GN750 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, Flicker-Free"," IPS, відгук 4мс, 165Гц","Монітор Asus TUF Gaming VG259QR 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, NVIDIA G-Sync Compatible, HDR, PBP, Flicker-Free"," *VA, відгук 4мс, 120Гц","Монітор Philips 558M1RY 55 """, 3840x2160 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync, Flicker-Free"," IPS, відгук 4мс, 75Гц","Монітор Philips 245B1 24 """, 2560x1440 (16:9)
" VGA, DVI-D, HDMI, DisplayPort", Flicker-Free," *VA, відгук 4мс, 75Гц","Монітор Iiyama ProLite X2474HS-B1 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," AMD FreeSync, HDR, Flicker-Free"," IPS, відгук 5мс, 60Гц","Монітор LG 27UL850 27 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор MSI Optix G32CQ4 32 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 240Гц","Монітор BenQ Zowie XL2740 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Asus VP228HE 22 """, 1920x1200 (16:10)
" DVI-D, HDMI, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 243V5QHABA 24 """, 3840x2160 (16:9)
" VGA, DVI-D, HDMI", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 273V7QDSB 27 """, 1920x1080 (16:9)
" VGA, HDMI", Flicker-Free," TN+film, відгук 1мс, 75Гц","Монітор Samsung S24D332H 24 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," NVIDIA G-Sync, HDR, Flicker-Free"," IPS, відгук 1мс, 360Гц","Монітор Asus ROG Swift PG259QN 25 """, 1920x1080 (16:9)
" VGA, HDMI"," DVI-D, HDMI, mini DisplayPort"," AH-IPS, відгук 6мс, 85Гц","Монітор NEC SV Reference 322 32 """, 2560x1600 (16:10)
" HDMI, DisplayPort"," VGA, DVI-D, HDMI"," *VA, 85Гц","Монітор NEC V552 55 """, 1920x1080 (16:9)
" HDMI, DisplayPort, USB C"," VGA, DVI-D, HDMI"," IPS, відгук 12мс","Монітор Panasonic TH-47LFV5W 47 """, 1920x1080 (16:9)
" VGA, HDMI"," VGA, DVI-D"," TN+film, відгук 4мс, 75Гц","Монітор Neovo TX-15 15 """, 1024x768 (4:3)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Samsung Odyssey G3 27 27 """, 1920x1080 (16:9)
" DVI-D, HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 165Гц","Монітор Asus VG278QF 27 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," DVI-D, HDMI, DisplayPort"," відгук 8мс, 60Гц","Монітор Samsung QH43R 43 """, 3840x2160 (16:9)
" DVI, HDMI, DisplayPort"," PBP, Flicker-Free"," IPS, відгук 4мс, 60Гц","Монітор Iiyama ProLite XB3288UHSU-B1 32 """, 3840x2160 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium Pro, HDR, Flicker-Free"," *VA, відгук 4мс, 165Гц","Монітор Dell S3220DGF 32 """, 2560x1440 (16:9)
" VGA, HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," TN+film, відгук 1мс, 144Гц","Монітор AOC G2590FX 25 """, 1920x1080 (16:9)
" HDMI, DisplayPort"," AMD FreeSync Premium, NVIDIA G-Sync Compatible, Flicker-Free"," *VA, відгук 4мс, 144Гц","Монітор Dell S2721HGF 27 """, 1920x1080 (16:9)
" VGA, DVI-D, DisplayPort", Flicker-Free," IPS, відгук 5мс, 60Гц","Монітор Philips 272B8QJEB 27 """, 2560x1440 (16:9)
" HDMI, DisplayPort"," AMD FreeSync, NVIDIA G-Sync Compatible, HDR, Flicker-Free"," IPS, відгук 1мс, 144Гц","Монітор LG 27GN800 27 """, 2560x1440 (16:9)
" VGA, HDMI"," AMD FreeSync, PBP, Flicker-Free"," IPS, відгук 5мс, 75Гц","Монітор LG 22MN430M 22 """, 1920x1080 (16:9)
" VGA, HDMI"," AMD FreeSync, Flicker-Free"," IPS, відгук 5мс, 144Гц","Монітор Acer Nitro VG271Pbmiipx 27 """, 1920x1080 (16:9)
